AO-27;AO-27
AO-7;AO-7
AO-91;AO-91
AO-92;AO-92
AO-109;AO-109
ARISS;ARISS
LilacSat-2 (CAS-3H);CAS-3H
CAS-4A;CAS-4A
CAS-4B;CAS-4B
EO-88;EO-88
FO-29;FO-29
HO-113;HO-113
IO-86;IO-86
JO-97;JO-97
PO-101;PO-101
RS-44;RS-44
SO-41;SO-41
SO-50;SO-50
TO-108;TO-108
XW-2A;XW-2A
XW-2B;XW-2B
XW-2C;XW-2C
XW-2D;XW-2D
XW-2E;XW-2E
XW-2F;XW-2F
SO-125;SO-125
AO-123;AO-123
